epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.314,1.36396,1.59987,1.184,0.71217,0.59077,0.60906,0.38613,1.20132,1.11094,1.29275,0.000254711,0.000254711,0.000254711
2,473.154,1.42121,1.18004,1.21927,0.58265,0.57654,0.52527,0.33006,1.25896,1.2923,1.27458,0.000490807,0.000490807,0.000490807
3,649.448,1.44308,1.19461,1.23878,0.80502,0.45929,0.58267,0.37386,1.19147,1.38623,1.25073,0.000706601,0.000706601,0.000706601
4,839.923,1.42852,1.23508,1.25395,0.64915,0.62559,0.61053,0.38728,1.17166,1.07319,1.21965,0.000677643,0.000677643,0.000677643
5,1022.81,1.38794,1.09396,1.23796,0.55215,0.57644,0.5969,0.38359,1.14244,1.11193,1.18724,0.00064719,0.00064719,0.00064719
6,1167.95,1.38998,1.03271,1.22543,0.70805,0.69692,0.73526,0.48311,1.12653,0.88688,1.16366,0.000616738,0.000616738,0.000616738
7,1338.31,1.36053,1.00259,1.22374,0.67807,0.69495,0.69434,0.4768,1.07264,0.84184,1.16707,0.000586286,0.000586286,0.000586286
8,1518.61,1.33959,0.96311,1.21008,0.78184,0.72061,0.74625,0.50263,1.08098,0.84347,1.14807,0.000555833,0.000555833,0.000555833
9,1767.8,1.30961,0.93539,1.19361,0.74692,0.74549,0.7816,0.55416,1.05334,0.73163,1.14284,0.000525381,0.000525381,0.000525381
10,1908.08,1.34001,0.90687,1.20547,0.78507,0.73827,0.79167,0.54883,1.03188,0.72902,1.12129,0.000494928,0.000494928,0.000494928
11,2060.76,1.26439,0.85216,1.16598,0.80602,0.69953,0.78725,0.55551,1.05974,0.65724,1.1195,0.000464476,0.000464476,0.000464476
12,2218.82,1.28449,0.83251,1.16789,0.80308,0.75025,0.78724,0.57196,0.98852,0.66443,1.10653,0.000434024,0.000434024,0.000434024
13,2373.57,1.26424,0.82757,1.18603,0.80205,0.76631,0.81693,0.57393,1.02377,0.66777,1.13426,0.000403571,0.000403571,0.000403571
14,2538.65,1.25982,0.80299,1.15831,0.81365,0.80325,0.82041,0.60126,0.97901,0.64092,1.09635,0.000373119,0.000373119,0.000373119
15,2692.09,1.22147,0.75854,1.13636,0.83807,0.80708,0.82071,0.59348,0.98703,0.61841,1.08991,0.000342666,0.000342666,0.000342666
16,2849.07,1.22155,0.74569,1.159,0.802,0.793,0.80651,0.56739,0.98482,0.63895,1.11096,0.000312214,0.000312214,0.000312214
17,3009.16,1.2005,0.72505,1.14949,0.85562,0.75089,0.80617,0.58202,0.97782,0.63947,1.09991,0.000281762,0.000281762,0.000281762
18,3161.43,1.17345,0.72414,1.13493,0.78289,0.74974,0.78424,0.57605,0.96111,0.61931,1.1124,0.000251309,0.000251309,0.000251309
19,3304.1,1.15576,0.68487,1.11708,0.87463,0.77063,0.82129,0.60671,0.96295,0.6137,1.09495,0.000220857,0.000220857,0.000220857
20,3472.24,1.17684,0.67571,1.13249,0.86804,0.79615,0.87221,0.64586,0.93924,0.56098,1.07666,0.000190404,0.000190404,0.000190404
21,3617.92,1.15115,0.66212,1.12211,0.87755,0.80142,0.87005,0.64651,0.92289,0.54173,1.06736,0.000159952,0.000159952,0.000159952
22,3770.66,1.13914,0.63445,1.10093,0.85133,0.80977,0.87581,0.66717,0.91418,0.53736,1.05566,0.0001295,0.0001295,0.0001295
23,3917.63,1.13136,0.62377,1.1069,0.84627,0.85122,0.87952,0.6572,0.91094,0.55081,1.05552,9.90472e-05,9.90472e-05,9.90472e-05
24,4062.36,1.11367,0.61631,1.10212,0.83176,0.83407,0.8704,0.66162,0.90322,0.52622,1.05501,6.85948e-05,6.85948e-05,6.85948e-05
25,4217.18,1.09949,0.60441,1.09176,0.88807,0.81872,0.87495,0.66775,0.90176,0.51774,1.05818,3.81424e-05,3.81424e-05,3.81424e-05
