epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.709,1.36779,1.64691,1.2118,0.67279,0.62145,0.64891,0.43318,1.10893,1.30511,1.12473,0.000152827,0.000152827,0.000152827
2,329.18,1.41266,1.18541,1.22996,0.71819,0.56786,0.64994,0.43762,1.15309,1.03059,1.19923,0.000306552,0.000306552,0.000306552
3,513.268,1.42047,1.17405,1.25067,0.56757,0.63629,0.6538,0.42967,1.15682,1.71324,1.20796,0.000459977,0.000459977,0.000459977
4,692.75,1.4195,1.15305,1.25275,0.68796,0.57546,0.63719,0.43015,1.15467,1.12817,1.22777,0.000612877,0.000612877,0.000612877
5,883.153,1.44077,1.15353,1.25504,0.54883,0.66024,0.62987,0.4158,1.18864,1.70666,1.22002,0.000765029,0.000765029,0.000765029
6,1044.43,1.45493,1.14719,1.27093,0.59328,0.63308,0.64018,0.45493,1.12455,1.05629,1.18337,0.000764314,0.000764314,0.000764314
7,1181,1.40231,1.12916,1.25805,0.62612,0.74068,0.70115,0.46379,1.12915,2.01609,1.16233,0.000762258,0.000762258,0.000762258
8,1340.28,1.39514,1.04979,1.23751,0.72125,0.67848,0.7179,0.47093,1.1001,0.9381,1.1844,0.000759833,0.000759833,0.000759833
9,1540.84,1.41891,1.06566,1.24598,0.84705,0.72082,0.77158,0.51892,1.10458,0.82238,1.16272,0.000757041,0.000757041,0.000757041
10,1724.63,1.39382,1.05541,1.2436,0.76319,0.73142,0.73313,0.51712,1.04683,0.86399,1.13579,0.000753886,0.000753886,0.000753886
11,1924.94,1.3769,0.9797,1.23576,0.84586,0.70418,0.78447,0.54496,1.05689,0.77223,1.14943,0.000750369,0.000750369,0.000750369
12,2110.47,1.35208,0.96739,1.21181,0.78451,0.74876,0.80329,0.56653,1.00449,0.69577,1.0997,0.000746496,0.000746496,0.000746496
13,2322.79,1.35672,0.95556,1.22179,0.81012,0.74625,0.78624,0.53213,1.08996,0.74982,1.16738,0.000742269,0.000742269,0.000742269
